id,title,wikipedia_link,description
20,Alto Douro Wine Region,http://en.wikipedia.org/wiki/Douro_DOC,"Douro is a Portuguese wine region centered around the Douro River in the Trás-os-Montes e Alto Douro region. It is sometimes referred to as the Alto Douro (upper Douro), as it is located some distance upstream from Porto, sheltered by mountain ranges from coastal influence. The region has Portugal's highest wine classification as a Denominação de Origem Controlada (DOC). While the region is associated primarily with Port wine production, the Douro produces just as much table wine (non-fortified wines) as it does fortified wine. The non-fortified wines are typically referred to as ""Douro wines"".
The style of wines produced in the Douro range from light, Bordeaux style claret to rich Burgundian style wines aged in new oak.[1]

There is archaeological evidence for winemaking in the region dating from the end of the Western Roman Empire, during the 3rd and 4th centuries AD, although grape seeds have also been found at older archaeological sites.[2] In Medieval times from the mid-12th century, Cistercians had an important influence on winemaking in the region, through their three monasteries Salzedas, São João de Tarouca and São Pedro das Águias.

In the 17th century, the region's vineyards expanded, and the earliest known mention of ""Port wine"" dates from 1675. The Methuen Treaty between Portugal and England in 1703, and the subsequent establishment of many British Port lodges in Porto meant that Port wine became the primary product of the region, and it became economically very important to Portugal. As part of the regulation of the production and trade of this valuable commodity, a royal Portuguese charter of 10 September 1756 defined the production region for Port wine. It thus became the world's first wine region to have a formal demarcation. The vineyards covered by this demaraction were situated in the western part of the present region. Later, the vineyards have progressively expanded to the east into hotter and drier areas.

Douro was not spared from the vine diseases of the 19th century. Powdery mildew (oidium) struck in 1852 and Phylloxera in 1863.

While table wine has always been produced in the region, for a long time little of it was seen outside the region itself. The Port lodges were focused on the production and export of Port wine, which was their unique product on the export market, and had little interest in other wine styles. Thus, while the wines could be good, for a long time, there was no attempt to use Douro grapes to produce more ambitious table wine. The person credited with creating the first ambitious Douro wine is Fernando Nicolau de Almeida, who worked as a oenologist with the Port house Ferreira. He visited Bordeaux during World War II, which gave him inspiration for creating a top-quality table wine. The wine Barca Velha, first produced in 1952 using grapes from Quinta do Vale de Meão situated in the Douro Superior subregion, was the result.[3] Barca Velha didn't immediately get many followers, since most Port wine houses remained uninterested in non-fortified wines for a long time. A few more ambitious Douro wines made their appearance from the 1970s, but it was not until the 1990s when a large number of wines made their appearance. A contributing factor was Portugal's entry into the European Economic Community in 1986, which meant that the Port lodges' monopoly was abolished,[4] thus paving the way for producers in the Douro valley to produce and bottle their own wine - Port or dry Douro wines. At this stage, several Port houses also introduced Douro wines into their range.

The Douro winemaking region was declared a World Heritage Site in 2001."
354,Historic City of Trogir,http://es.wikipedia.org/wiki/Trogir,"Trogir (Latin: Tragurium ; Greek: Τραγύριον or Τραγούριον , Trogkir; Italian: Traù; Hungarian: Trau) is a historic town and harbour on the Adriatic coast in Split-Dalmatia County, Croatia, with a population of 12,995 (2001) and a total municipality population of 13,322 (2001). The historic city of Trogir is situated on a small island between the Croatian mainland and the island of Čiovo. It lies 27 kilometres west of the city of Split.
Since 1997, the historic centre of Trogir has been included in the UNESCO list of World Heritage Sites.

In the 3rd century BC, Tragurion was founded by Greek colonists[5] from the island of Vis, and it developed into a major port until the Roman period. The name comes from the Greek ""tragos"" (male goat). Similarly, the name of the neighbouring island of Bua comes from the Greek ""voua"" (herd of cattle). The sudden prosperity of Salona deprived Trogir of its importance. During the migration of Slavs the citizens of the destroyed Salona escaped to Trogir. From the 9th century on, Trogir paid tribute to Croatian rulers. The diocese of Trogir was established in the 11th century (abolished in 1828) and in 1107 it was chartered by the Hungarian-Croatian king Coloman, gaining thus its autonomy as a town.
In 1123 Trogir was conquered and almost completely demolished by the Saracens. However, Trogir recovered in a short period to experience powerful economic prosperity in the 12th and the 13th centuries. In 1242 King Béla IV found refuge there as he fled the Tatars. In the 13th and the 14th centuries, members of the Šubić family were most frequently elected dukes by the citizens of Trogir; Mladen III (1348), according to the inscription on the sepulchral slab in the Cathedral of Trogir called ""the shield of the Croats"", was one of the most prominent Šubićs. In Dalmatian, the city was known as Tragur.

In 1420 the period of a long-term Venetian rule began.
On the fall of Venice in 1797, Trogir became a part of the Habsburg Empire which ruled over the city until 1918, with the exception of French occupation from 1806 to 1814. After World War I, Trogir, together with Croatia, became a part of the State of Slovenes, Croats and Serbs and subsequently the Kingdom of Yugoslavia. During this period Italian citizens, until 1918 the ruling class and almost half part of the population, were forced to leave for Italy. During World War II, Trogir was occupied by Italy and subsequently liberated in 1944. Since then it belonged to the second Yugoslavia, and from 1991 to Croatia."
61,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",,
591,Old City of Berne,http://en.wikipedia.org/wiki/Old_City_of_Bern,"The Old City of Bern is the medieval city center of Bern, Switzerland. Built on a narrow hill surrounded on three sides by the Aare River, its compact layout has remained essentially unchanged since its construction during the 12th to the 15th century. Despite a major fire in 1405, after which much of the city was rebuilt in sandstone, and substantial construction efforts in the 18th century, Bern's old city has retained its medieval character.

The Old City is home to Switzerland's tallest cathedral as well as other churches, bridges and a large collection of Renaissance fountains. In addition to many historical buildings, the seats of the federal, cantonal and municipal government are also situated in the Old City. It is a UNESCO Cultural World Heritage Site since 1983 due to the compact and generally intact medieval core and is an excellent example of incorporating the modern world into a medieval city. Numerous buildings in the Old City have been designated as Swiss Cultural Properties of National Significance, as well as the entire Old City.[1]

The earliest settlements in the Aare Valley date back to the Neolithic period. During the 2nd century BCE the valley was settled by the Helvetii. Following the Roman conquest of Helvetia a small Roman settlement was established near the Old City. This settlement was abandoned during the 2nd century AD. From that time until the founding of Bern the area remained sparsely settled.

The history of the city of Bern proper begins with its founding by Duke Berchtold V of Zähringen in 1191. Local legend has it that the duke vowed to name the city after the first animal he met on the hunt, which turned out to be a bear.[2] Both the name of the city (Bern can stand for Bär(e) n, bears) and its heraldic beast, come from this legend. At that time, much of today's Switzerland (then considered part of southern Burgundy) was under the authority of the house of Zähringen. The Zähringer leaders, although with no actual duchy of their own, were styled dukes by decree of the German king and exercised imperial power south of the Rhine. To establish their position there, they founded or expanded numerous settlements, including Fribourg (in 1157), Bern, Burgdorf and Morat.[3]
The area chosen by Berchtold V was a hilly peninsula surrounded by the Aare river on three sides. This location made the city easy to defend and influenced the later development of the city. The long, narrow shape of the peninsula made the city develop as several long, parallel rows of houses. The only major cross streets (going north and south) developed along the city walls, which were moved to allow the city to expand. Therefore, the cross streets mark the stages of development in the Old City of Bern.
On the eastern end of the peninsula a small fort, called Castle Nydegg, was founded by Berchtold IV in the second half of the 12th century. Either when the fort was built or in 1191, the city of Bern was founded around the eastern end of the peninsula.[4]

First Expansion - 1191

The first expansion of Bern occurred as the city was founded. Most likely the first city started at Nydegg Castle and reached to the Zytglogge (Swiss German: clock tower). The city was divided by three longitudinal streets, which stretched from the Castle to the city wall. Both the position of the town church and the shape of the eaves were typical for a Zähringer city.[4]
During the first half of the 13th century two additional streets (Brunngasse and Herrengasse) were added. Brunngasse was a semi-circular street on the north edge of the city, while Herrengasse was on the south side of the city. A wood bridge was built over the Aare River which allowed increased trade and limited settlements on the east bank of the river.
[edit]Second Expansion - 1255 to 1260
During the second half of the 13th century the river side foundation of Nydegg Castle was strengthened and connected to a new west city wall. This wall was added to protect the four streets, known as the New City or Savoy City, that had sprung up outside the Zytglogge. The new west wall included a gate known as the Käfigturm (German: Prison Tower).
Around 1268 Nydegg Castle was destroyed, and the city expanded into the area formerly occupied by the castle.[4] In the south east part of the peninsula below the main hill that the rest of the Old City occupied, a section known as Matte grew up.

Third Expansion - 1344 to 1346

For almost a century the Käfigturm remained the western boundary of Bern. However, as the city grew, people began settling outside the city walls. In 1344 the city started to build a third wall to protect the growing population. By 1346 the project was finished and six new streets were protected by a wall and the Christoffelturm (German: St. Christopher Tower). The Christoffelturm remained the western border of Bern until the 19th century. From 1622 to 1634 a series of defensive walls and strong points were added outside the Christoffelturm. These defensive walls, known as the Grosse Schanze and Kleine Schanze (large and small redoubts respectively) as well as the Schanzegraben (redoubt ditch or moat), were never used as living space for the city, though the Schanzengraben was used for a while to house the Bärengraben."
621,Paleochristian and Byzantine Monuments of Thessalonika,http://en.wikipedia.org/wiki/Hagia_Sophia_(Thessaloniki),"The Hagia Sophia (www.agiasofia.info), (Greek: Ἁγία Σοφία = Holy Wisdom) in Thessaloniki, Greece, is one of the oldest churches in that city still standing today. It is one of several monuments in Thessaloniki included as a World Heritage Site on the UNESCO list.

Since the 3rd century, there was a church in the location of the current Hagia Sophia. In the 8th century, the present structure was erected, based on the Hagia Sophia in Constantinople (present-day Istanbul, Turkey). In 1205, when the Fourth Crusade captured the city, the Hagia Sophia was converted into the cathedral of Thessaloniki, which it remained after the city was returned to the Byzantine Empire in 1246. After the capture of Thessaloniki by the Ottoman Sultan Murad II on 29 March 1430, the church was converted into a mosque.[1]
Its ground plan is that of a domed Greek cross basilica. Together with the Gül and the Kalenderhane Mosques in Istanbul and the destroyed Church of the Dormition in Nicaea, it represents one of the main architectural examples of this type, typical of the Byzantine middle period.[2]

In the Iconoclastic era, the apse of the church was embellished with plain gold mosaics with only one great cross, similarly to the Hagia Irene in Constantinople and the Church of the Dormition in Nicaea. The cross was substituted with the image of the Theotokos (God-bearer, or Mary) in 787-797 after the victory of the Iconodules. The mosaic in the dome now represents the Ascension of Jesus Christ with the inscription from Acts 1:11 ""Ye men of Galilee, why stand ye gazing up into heaven?"". The dome is ringed by the figures of all Twelve Apostles, the Virgin Mary and two angels.
Much of the interior decoration was plastered over after the Great Thessaloniki Fire of 1917. The dome was not restored until 1980.[3]
Hagia Sophia is part of the site Palaeochristian and Byzantine Monuments of Thessaloniki on the list of World Heritage Sites by UNESCO"
900,Wooden Churches of the Slovak part of the Carpathian Mountain Area,http://en.wikipedia.org/wiki/Wooden_Churches_of_the_Slovak_Carpathians,"Carpathian Wooden Churches is the name of a UNESCO World Heritage Site that consists of nine wooden religious buildings constructed between the 16th and 18th centuries in eight different locations in Slovakia. They include two Roman Catholic (Hervartov, Tvrdošín), three Protestant (so-called Articular churches in Hronsek, Leštiny, Kežmarok) and three Greek Catholic churches (Bodružal, Ruská Bystrá, Ladomirová) plus one belfry in Hronsek. In addition to these churches there are about 50 more wooden churches in the territory of present-day Slovakia mainly in the northern and eastern part of the Prešov Region.

Roman Catholic wooden church of St. Francis of Assisi in Hervartov (see picture above) has a Gothic character as represented by its tall but narrow structure unusual for a wooden church. It was built in the second half of the 15th century and thus represents the oldest of its type in Slovakia. The floor is made of stones again unlike in most of wooden churches where it is usually made of wood. Rare wall paintings were added in 1665 during the reformation period and they depict, among others, Adam and Eve in the Eden or the struggle of St. George with the dragon. The main altar of Virgin Mary, St. Catherine of Alexandria, and St. Barbara was made between 1460 and 1470 and restored in the second half of the 20th century.

Roman Catholic Gothic church of All Saints in Tvrdošín was built in the second half of the 15th century and modified in a Renaissance style in the 17th century. Baroque main altar depicting All Saints is from the end of the 17th century. Remaining part of the original Gothic altar with St. Peter and St. John the Baptist ended up in muzeum in Budapest after the World War I. Worth of notice are also ceiling paintings depicting the starry heaven, as well as many religious artefacts from the 17th century.

Severe restrictions embodied in the articles of the Congress of Sopron (1681) that enabled building of Protestant, so called articular, churches caused their extraordinary appearance. They must have been built within the single year, without any metal parts such as nails, and without any tower. Thus the construction of the church in Hronsek began on the 23rd October 1725 and was finished in the autumn of the 1726, the same year when the adjacent belfry was built as well. Church is 8m high and has a shape of the cross with arms 23 and 18m long. As there are many unusual motives from Scandinavian architecture, it is assumed that craftsmen from Norway and/or Sweden participated on the construction site. Unique is also the ordering of the benches on the choirs so that the church can accommodate 1100 worshipers through its 5 doors. The altar has 6 tables from 1771 by Master Samuel Kialovič.

Construction of the wooden evangelical articular church in Leštiny in the Orava region of Slovakia was ordered by Jób Zmeškal and finished in 1688. Interior dates back to the 17th and 18th century nad it is whole beautifully painted. Main altar is from the 18th century and the famous Slovak poet Pavol Országh Hviezdoslav was baptised here as well.

Built in 1717, church in Kežmarok with one of the most fascinating interiors with exceptional wall paintings as well as wood carvings is considered to be the most beautiful of the last 5 remaining articular churches in Slovakia. In order to raise money for the construction of the church, fund-raising campaigns were conducted in many parts of Europe, e.g. Sweden and Denmark. The architect of the church was Juraj Müttermann from Popradu and with its width of 30.31m, length of 34.68m, and height of 20.60m, it together with 6 side choirs it can serve more than 1500 worshipers, which is quite an achievement for a wooden church. Ceiling paintings started in 1717 and continued for several decades. They depict blue heaven, 12 apostles, 4 evangelists, plus the Holy Trinity above the altar. Ján Lerch from Kežmarok made the altar between 1718 and 1727 with the central motive of the Calvary. Extraordinary masterwork is also the organ built between 1717 and 1720 by Vavrinec Čajkovský, and extended in 1729 by Master Martin Korabinský from Spišská Nová Ves. After general restoration in the 1990s services are again regularly hold there.

Greek Catholic church of St. Nicholas in Bodružal built in 1658 consists of three interconnected square-shaped parts along the east-west axis with 3 towers (the biggest one with the bells) topped with little onion domes and iron crosses. Artistically it belongs to folk Baroque style. Church is surrounded with the cemetery, wall, and the belfry from the 19th century. Some of the 18th century wall paintings are still preserved as well as iconostasis, and other icons from the same century. Altar was reconstructed in 1990s and the whole building subsequently in the 2004. Two of the three bells was melted down in the World War I and replaced only in the second half of the 1920s. From 1968 until the middle of the 1990s the church was biritual, i.e. holding Greek Catholic as well as Eastern Orthodox services. nowadays it belongs only to the Greek Catholic Church.

Church of St. Nicholas in Ruská Bystrá built at the beginning of the 18th century has just 2 towers and the shape of its almost perfect geometric roof resembles traditional houses of peasants. Interior with religious artefacts dates back to the 18th century as well.

Church of Archangel Michael in Ladomirová built in 1742 without a single nail has basically the same design as the one in Bodružal including its surroundings (wall, cemetery, belfry)."
60,Archaeological Site of Volubilis,http://en.wikipedia.org/wiki/Volubilis,"Volubilis (Arabic: وليلي‎ Walili) is an archaeological site in Morocco situated near Meknes between Fez and Rabat along the N13 road. The nearest town is Moulay Idriss. Volubilis features the best preserved Roman ruins in this part of northern Africa [1]. In 1997 the site was listed as a UNESCO World Heritage site.

Roman period

In antiquity, Volubilis was an important Roman town situated near the westernmost border of Roman conquests. It was built on the site of a previous Carthaginian settlement from (at the latest) the third century BC, but that settlement overlies an earlier neolithic habitation.[2]
Volubilis was the administrative center of the province in Roman Africa called Mauretania Tingitana. The fertile lands of the province produced many commodities such as grain and olive oil, which were exported to Rome, contributing to the province's wealth and prosperity. Archaeology has documented the presence of a Jewish community in the Roman period.

After the Romans

The Romans evacuated most of Morocco at the end of the 3rd century AD but, unlike some other Roman cities, Volubilis was not abandoned. However, it appears to have been destroyed by an earthquake in the late fourth century AD. It was reoccupied in the sixth century, when a small group of tombstones written in Latin shows the existence of a community that still dated its foundation by the year of the Roman province. Coins show that it was occupied under the Abbasids: a number of these simply bear the name Walila.

The texts referring to the arrival of Idris I in 788 show that the town was at that point in the control of the Awraba tribe, who welcomed the descendant of Ali, and declared him imam shortly thereafter. Within three years he had consolidated his hold on much of the area, founded the first settlement at Fez, and started minting coins. He died in 791, leaving a pregnant Awraba wife, Kenza, and his faithful slave, Rashid, who acted as regent until the majority of Idris II. At this point the court departed for Fez, leaving the Awraba in control of the town.

The local Latin language survived for centuries, and was not replaced before the Arabs conquered North Africa in the late 7th century.
People continued to live in Volubilis for more than 1,000 years more. Volubilis was first abandoned in the 18th century -- when it was demolished in order to provide for building materials for the construction of the palaces of Moulay Ismail in nearby Meknes. If that destruction had not occurred, Volubilis could have become one of the best preserved Roman sites anywhere."
134,Cave of Altamira and Paleolithic Cave Art of Northern Spain,http://en.wikipedia.org/wiki/Cave_of_Altamira_and_Paleolithic_Cave_Art_of_Northern_Spain,"Cave of Altamira and Paleolithic Cave Art of Northern Spain is the name under which are grouped 18 caves located in different regions of northern Spain to represent the apogee of Paleolithic cave art developed in Europe between 35,000 and 11,000 D.C.
The eighteen caves included in this site of World Heritage Site are:

Cave of Altamira
The extension of 17 caves of Paleolithic rock art in northern Spain
Cantabria
Asturias
Basque Country

Cave of Altamira

Chief among these caves is the Cave of Altamira, located within the town of Santillana del Mar in Cantabria. It remains one of the most important painting cycles of Prehistory. Belonging to the Magdalenian and Solutrean periods within the Upper Paleolithic. His artistic style is called franco-cantabrian school, characterized by the realism of the figures represented. Altamira Cave was declared a World Heritage Site in 1985.
"
155,Chongoni Rock-Art Area,http://en.wikipedia.org/wiki/Chongoni_Rock_Art_Area,"Chongoni Rock Art Area is located in the Central Region of Malawi. This was inscribed as a UNESCO World Heritage Site in 2006.
"
125,Castel del Monte,"http://en.wikipedia.org/wiki/Castel_del_Monte,_Apulia","Castel del Monte (Italian: Castle of the Mount) is a 13th-century castle situated in Andria in the Apulia region of southeast Italy. It was built by the Holy Roman Emperor Frederick II some time between 1240 and 1250; it has been despoiled of its interior marbles and furnishings in subsequent centuries. It has neither a moat nor a drawbridge and might in fact never have been intended as a defensive fortress.[1] Today, the site is protected as a World Heritage Site.

Location

Castel del Monte is situated on a small hill close to the monastery of Santa Maria del Monte, at an altitude of 1,800 feet (550 m).[2] When the castle was built, the region was famously fertile with a plentiful supply of water and lush vegetation.[1] It lies in the comune of Andria, occupying the site of an earlier fortress of which no structural remains exist.
It was completed in 1240 and was used primarily as a hunting lodge by Frederick until his death in 1250. It was later turned into a prison, used as a refuge during a plague, and finally fell into disrepair. It originally had marble walls and columns, but all were stripped by vandals.

Description

Frederick was responsible for the construction of many castles in Apulia, but Castel del Monte's geometric design was unique.[1] The fortress is an octagonal prism with an octagonal tower at each corner. Both floors have eight rooms and an eight-sided courtyard occupies the castle's centre.[3] Each of the main rooms have vaulted ceilings. Three of the corner towers contain staircases. The castle has two entrances, an unobtrusive service entrance and an ornate main entrance. Frederick's main entrance featured elements from classical design, and may have been influenced by Frederick's interest in Greco-Roman architecture.[1]

The octagonal plan is unusual in castle design. Historians have debated the purpose of the building and it has been suggested that it was intended as a hunting lodge.[4] Another theory is that the octagon is an intermediate symbol between a square (representing the earth) and a circle (representing the sky). Frederick II may have been inspired to build to this shape by either the Dome of the Rock in Jerusalem, which he had seen while on Crusade, or by the Palace Chapel of Aachen Cathedral.

The main wall is 25 m high and the eight bastions each 26 m. The sides of the main octagon are 16.5 m long and those of the octagonal towers each 3.1 m. The castle has a diameter of 56 m. Its main entrance faces east."
