whs_source_page,comments,whs_site_id,latitude,longitude,name,edited name,wikipedia_link,Country,iso_code,Criteria,Date of Inscription,size_has,Region,Edited region
http://whc.unesco.org/en/list/549,,549,41.07333,14.32639,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex","18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",http://en.wikipedia.org/wiki/Palace_of_Caserta,Italy,IT,"i,ii,iii,iv",1997,87,"Provinces of Caserta and Benevento, Campania","Provinces of Caserta and Benevento, Campania"
http://whc.unesco.org/en/list/3,,3,50.774444,6.084444,Aachen Cathedral,Aachen Cathedral,http://en.wikipedia.org/wiki/Aachen_Cathedral,Germany,DE,"i,ii,iv,vi",1978,,State of North Rhine-Westphalia (Nordrhein-Westfalen),State of North Rhine-Westphalia (Nordrhein-Westfalen)
http://whc.unesco.org/en/list/1227,,1227,-20.158639,57.503167,Aapravasi Ghat,Aapravasi Ghat,http://en.wikipedia.org/wiki/Aapravasi_Ghat,Mauritius,MU,vi,2006,0.16,Port Louis District,Port Louis District
http://whc.unesco.org/en/list/515,,515,49.65369,8.56858,Abbey and Altenmünster of Lorsch,Abbey and Altenmünster of Lorsch,http://en.wikipedia.org/wiki/Lorsch_Abbey,Germany,DE,"iii,iv",1991,,"District of Bergstrasse, State of Hesse (Hessen)","District of Bergstrasse, State of Hesse (Hessen)"
http://whc.unesco.org/en/list/230,,230,46.56472,0.86611,Abbey Church of Saint-Savin sur Gartempe,Abbey Church of Saint-Savin sur Gartempe,http://en.wikipedia.org/wiki/Abbey_Church_of_Saint-Savin-sur-Gartempe,France,FR,"i,iii",1983,0.16,"Department of Vienne, Poitou-Charentes Region","Department of Vienne, Poitou-Charentes Region"
http://whc.unesco.org/en/list/90,,90,30.85,29.666667,Abu Mena,Abu Mena,http://en.wikipedia.org/wiki/Abu_Mena,Egypt,EG,iv,1979,183,"Mariut desert, District of Burg al-Arab, Gouvernate of Al Iskandariyah (Alexandria)","Mariut desert, District of Burg al-Arab, Gouvernate of Al Iskandariyah (Alexandria)"
http://whc.unesco.org/en/list/404,,404,37.97087,23.72618,"Acropolis, Athens","Acropolis, Athens",http://en.wikipedia.org/wiki/Acropolis_of_Athens,Greece,GR,"i,ii,iii,iv,vi",1987,3.04,Prefecture and Region of Attica,Prefecture and Region of Attica
http://whc.unesco.org/en/list/1207,,1207,22.998889,57.536056,Aflaj Irrigation Systems of Oman,Aflaj Irrigation Systems of Oman,http://en.wikipedia.org/wiki/Qanat,Oman,OM,v,2006,1456,"Dakhiliya, Sharqiya and Batinah Regions","Dakhiliya, Sharqiya and Batinah Regions"
http://whc.unesco.org/en/list/1209,,1209,20.863056,-103.778611,Agave Landscape and Ancient Industrial Facilities of Tequila,Agave Landscape and Ancient Industrial Facilities of Tequila,"http://en.wikipedia.org/wiki/Tequila,_Jalisco",Mexico,MX,"ii,iv,v,vi",2006,35019,"Valles Region, Jalisco State","Valles Region, Jalisco State"
http://whc.unesco.org/en/list/251,,251,27.183333,78.033333,Agra Fort,Agra Fort,http://en.wikipedia.org/wiki/Agra_Fort,India,IN,iii,1983,,"Uttar Pradesh, Agra District","Uttar Pradesh, Agra District"
