_SourcePage,name,wikipedia_link,Coordinates,Country,Criteria,Date of Inscription,size_has,Ref,Region
http://whc.unesco.org/en/list/549,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",http://en.wikipedia.org/wiki/Palace_of_Caserta,N41 4 23.988 E14 19 35.004,Italy,(i)(ii)(iii)(iv),1997,87.0,549.0,"Provinces of Caserta and Benevento, Campania"
http://whc.unesco.org/en/list/3,Aachen Cathedral,http://en.wikipedia.org/wiki/Aachen_Cathedral,N50 46 28 E6 5 4,Germany,(i)(ii)(iv)(vi),1978,,3.0,State of North Rhine-Westphalia (Nordrhein-Westfalen)
http://whc.unesco.org/en/list/1227,Aapravasi Ghat,http://en.wikipedia.org/wiki/Aapravasi_Ghat,S20 9 31.1 E57 30 11.4,Mauritius,(vi),2006,0.16,1227.0,Port Louis District
http://whc.unesco.org/en/list/515,Abbey and Altenmünster of Lorsch,http://en.wikipedia.org/wiki/Lorsch_Abbey,N49 39 13.284 E8 34 6.888,Germany,(iii)(iv),1991,,515.0,"District of Bergstrasse, State of Hesse (Hessen)"
http://whc.unesco.org/en/list/230,Abbey Church of Saint-Savin sur Gartempe,http://en.wikipedia.org/wiki/Abbey_Church_of_Saint-Savin-sur-Gartempe,N46 33 52.992 E0 51 57.996,France,(i)(iii),1983,0.16,230.0,"Department of Vienne, Poitou-Charentes Region"
http://whc.unesco.org/en/list/90,Abu Mena,http://en.wikipedia.org/wiki/Abu_Mena,N30 51 0 E29 40 0,Egypt,(iv),1979,183.0,90.0,"Mariut desert, District of Burg al-Arab, Gouvernate of Al Iskandariyah (Alexandria)"
http://whc.unesco.org/en/list/404,"Acropolis, Athens",http://en.wikipedia.org/wiki/Acropolis_of_Athens,N37 58 15.132 E23 43 34.248,Greece,(i)(ii)(iii)(iv)(vi),1987,3.04,404.0,Prefecture and Region of Attica
http://whc.unesco.org/en/list/1207,Aflaj Irrigation Systems of Oman,http://en.wikipedia.org/wiki/Qanat,N22 59 56 E57 32 9.8,Oman,(v),2006,1456.0,1207.0,"Dakhiliya, Sharqiya and Batinah Regions"
http://whc.unesco.org/en/list/1209,Agave Landscape and Ancient Industrial Facilities of Tequila,"http://en.wikipedia.org/wiki/Tequila,_Jalisco",N20 51 47 W103 46 43,Mexico,(ii)(iv)(v)(vi),2006,35019.0,1209.0,"Valles Region, Jalisco State"
http://whc.unesco.org/en/list/251,Agra Fort,http://en.wikipedia.org/wiki/Agra_Fort,N27 10 60 E78 1 60,India,(iii),1983,,251.0,"Uttar Pradesh, Agra District"
http://whc.unesco.org/en/list/968,Agricultural Landscape of Southern Ãland,http://en.wikipedia.org/wiki/Ireland,N56 19 30 E16 28 59.988,Sweden,(iv)(v),2000,,968.0,"Kalmar County, Island of Ãland"
http://whc.unesco.org/en/list/573,Air and Ténéré Natural Reserves,http://en.wikipedia.org/wiki/A%25C3%25AFr_and_T%25C3%25A9n%25C3%25A9r%25C3%25A9_National_Nature_Reserve,N18 0 0 E9 0 0,Niger,(vii)(ix)(x),1991,7736000.0,573.0,"DÃ©partment d'Agades, arrondissement d'Arlit"
http://whc.unesco.org/en/list/242,Ajanta Caves,http://en.wikipedia.org/wiki/Ajanta_Caves,N20 33 11.988 E75 42 0,India,(i)(ii)(iii)(vi),1983,,242.0,"Maharashtra State, Aurangabad District , Soyagon Taluka, Lenapur Village"
http://whc.unesco.org/en/list/15,Aksum,http://en.wikipedia.org/wiki/Aksumite_Empire,N14 7 48.684 E38 43 6.996,Ethiopia,(i)(iv),1980,,15.0,Tigrai Region
http://whc.unesco.org/en/list/1293,Al-Hijr Archaeological Site (MadÃ¢in SÃ¢lih),http://en.wikipedia.org/wiki/Meda'in_Saleh,Date of Inscription: 2008,Saudi Arabia,(ii)(iii),,1621.0,1293.0,N26 47 1 E37 57 18
http://whc.unesco.org/en/list/102,Al Qal'a of Beni Hammad,http://en.wikipedia.org/wiki/Beni_Hammad_Fort,N35 49 6.384 E4 47 12.624,Algeria,(iii),1980,150.0,102.0,"Commune of Maadid ""Bechara"", Wilaya (province) of M'Sila"
http://whc.unesco.org/en/list/185,Aldabra Atoll,http://en.wikipedia.org/wiki/Aldabra,Date of Inscription: 1982,Seychelles,(vii)(ix)(x),,35000.0,185.0,S9 25 0 E46 25 0
http://whc.unesco.org/en/list/839,Alejandro de Humboldt National Park,http://en.wikipedia.org/wiki/Alejandro_de_Humboldt_National_Park,N20 26 60 W75 0 0,Cuba,(ix)(x),2001,69341.0,839.0,GuantÃ¡namo and HolguÃ­n Provinces
http://whc.unesco.org/en/list/314,"Alhambra, Generalife and AlbayzÃ­n, Granada",http://en.wikipedia.org/wiki/Alhambra,N37 10 36.012 W3 35 39.984,Spain,(i)(iii)(iv),1984,,314.0,"Province of Granada, Autonomous Community of Andalusia"
http://whc.unesco.org/en/list/1046,Alto Douro Wine Region,http://en.wikipedia.org/wiki/Douro_DOC,N41 6 6 W7 47 56,Portugal,(iii)(iv)(v),2001,24600.0,1046.0,"Douro Region, TrÃ¡s-os-Montes e Alto Douro"
http://whc.unesco.org/en/list/162,Amiens Cathedral,http://en.wikipedia.org/wiki/Amiens_Cathedral,N49 53 42 E2 18 6,France,(i)(ii),1981,0.86,162.0,"Department of Somme, Picardie Region"
http://whc.unesco.org/en/list/38,Amphitheatre of El Jem,http://en.wikipedia.org/wiki/El_Djem,N35 17 47.004 E10 42 24.984,Tunisia,(iv)(vi),1979,1.37,38.0,El-Mahdia
http://whc.unesco.org/en/list/705,Ancient Building Complex in the Wudang Mountains,http://en.wikipedia.org/wiki/Wudang_Mountains,N32 28 0.012 E111 0 0,China,(i)(ii)(vi),1994,,705.0,"Danjiangkou City, Hubei Province"
http://whc.unesco.org/en/list/21,Ancient City of Aleppo,http://en.wikipedia.org/wiki/Aleppo,N36 13 59.988 E37 10 0.012,Syrian Arab Republic,(iii)(iv),1986,,21.0,Aleppo
http://whc.unesco.org/en/list/22,Ancient City of Bosra,http://en.wikipedia.org/wiki/Bosra,N32 31 5.016 E36 28 54.012,Syrian Arab Republic,(i)(iii)(vi),1980,,22.0,Governorate of Deraa
http://whc.unesco.org/en/list/20,Ancient City of Damascus,http://en.wikipedia.org/wiki/Damascus,N33 30 41.004 E36 18 23.004,Syrian Arab Republic,(i)(ii)(iii)(iv)(vi),1979,,20.0,Administrative District of Damascus
http://whc.unesco.org/en/list/217,Ancient City of Nessebar,http://en.wikipedia.org/wiki/Nesebar,N42 39 21.996 E27 43 48,Bulgaria,(iii)(iv),1983,27.0,217.0,Burgas Province
http://whc.unesco.org/en/list/812,Ancient City of Ping Yao,http://en.wikipedia.org/wiki/Pingyao,N37 12 5.004 E112 9 15.984,China,(ii)(iii)(iv),1997,,812.0,"Ping Yao County, Shan Xi Province"
http://whc.unesco.org/en/list/201,Ancient City of Polonnaruwa,http://en.wikipedia.org/wiki/Polonnaruwa,N7 54 57 E81 0 2,Sri Lanka,(i)(iii)(vi),1982,,201.0,"North Central Province, Polonnaruva District"
http://whc.unesco.org/en/list/202,Ancient City of Sigiriya,http://en.wikipedia.org/wiki/Sigiriya,N7 57 0 E80 45 0,Sri Lanka,(ii)(iii)(iv),1982,,202.0,"Central Province, Matale District"
http://whc.unesco.org/en/list/750,"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",http://en.wikipedia.org/wiki/Chinguetti,N20 55 44.004 W11 37 24.996,Mauritania,(iii)(iv)(v),1996,,750.0,"Oudane, Chinguetti: region de l'Adrar; Tichitt: region du Tagant; Oualata: region du Hodh Echchargut"
http://whc.unesco.org/en/list/1061,"Ancient Maya City of Calakmul, Campeche",http://en.wikipedia.org/wiki/Calakmul,N18 7 21 W89 46 59.988,Mexico,(i)(ii)(iii)(iv),2002,3000.0,1061.0,"Calakmul Municipality, Campeche Province"
http://whc.unesco.org/en/list/87,Ancient Thebes with its Necropolis,"http://en.wikipedia.org/wiki/Thebes,_Egypt",N25 43 59.988 E32 36 0,Egypt,(i)(iii)(vi),1979,7390.0,87.0,Governorate of Qina
http://whc.unesco.org/en/list/1002,Ancient Villages in Southern Anhui â Xidi and Hongcun,http://en.wikipedia.org/wiki/Xidi,N29 54 16 E117 59 15,China,(iii)(iv)(v),2000,52.0,1002.0,"Yi county, Huangshan city, Anhui Province"
http://whc.unesco.org/en/list/668,Angkor,http://en.wikipedia.org/wiki/Angkor,N13 25 60 E103 49 60,Cambodia,(i)(ii)(iii)(iv),1992,,668.0,Province Siem Reap
http://whc.unesco.org/en/list/293,Anjar,"http://en.wikipedia.org/wiki/Anjar,_Lebanon",N33 43 32.988 E35 55 46.992,Lebanon,(iii)(iv),1984,,293.0,"District of Zahle, Beqaa Governorate"
http://whc.unesco.org/en/list/65,Antigua Guatemala,http://en.wikipedia.org/wiki/Antigua_Guatemala,N14 34 0 W90 40 0,Guatemala,(ii)(iii)(iv),1979,49.0,65.0,"Department of SacatepÃ©quez, Panchoy Valley"
http://whc.unesco.org/en/list/654,Arabian Oryx Sanctuary,http://en.wikipedia.org/wiki/Arabian_Oryx_Sanctuary,N19 41 60 E57 0 0,Oman,(x),1994,2750000.0,654.0,Central Region
http://whc.unesco.org/en/list/1044,Aranjuez Cultural Landscape,http://en.wikipedia.org/wiki/Royal_Palace_of_Aranjuez,N40 2 11.22 W3 36 33.624,Spain,(ii)(iv),2001,2048.0,1044.0,Province and Autonomous Community of Madrid
http://whc.unesco.org/en/list/825,Archaeological Area and the Patriarchal Basilica of Aquileia,http://en.wikipedia.org/wiki/Aquileia,N45 46 6 E13 22 3,Italy,(iii)(iv)(vi),1998,155.0,825.0,"Province of Udine, Friuli-Venezia Giulia Region"
http://whc.unesco.org/en/list/831,Archaeological Area of Agrigento,http://en.wikipedia.org/wiki/Agrigento,N37 17 23 E13 35 36,Italy,(i)(ii)(iii)(iv),1997,934.0,831.0,"Province of Agrigento, Sicily"
http://whc.unesco.org/en/list/829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",http://en.wikipedia.org/wiki/Pompeii,N40 45 0 E14 28 60,Italy,(iii)(iv)(v),1997,98.0,829.0,"Province of Naples, Campania"
http://whc.unesco.org/en/list/664,Archaeological Ensemble of Mérida,"http://en.wikipedia.org/wiki/M%25C3%25A9rida,_Spain",N38 54 57.996 W6 20 16.008,Spain,(iii)(iv),1993,,664.0,"Province of Badajoz, Autonomous Community of Extremadura"
http://whc.unesco.org/en/list/875,Archaeological Ensemble of TÃ¡rraco,http://en.wikipedia.org/wiki/Tarragona,N41 6 53 E1 15 33.5,Spain,(ii)(iii),2000,100.0,875.0,"Province of Tarragona, Autonomous Community of Catalonia,"
http://whc.unesco.org/en/list/659,Archaeological Ensemble of the Bend of the Boyne,http://en.wikipedia.org/wiki/Br%25C3%25BA_na_B%25C3%25B3inne,N53 41 30.012 W6 27 0,Ireland,(i)(iii)(iv),1993,770.0,659.0,County Meath
http://whc.unesco.org/en/list/1008,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,http://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_Cuba,N20 1 48 W75 23 29,Cuba,(iii)(iv),2000,81475.0,1008.0,"Santiago and Guantanamo Provinces, South-Eastern Region"
http://whc.unesco.org/en/list/939,Archaeological Monuments Zone of Xochicalco,http://en.wikipedia.org/wiki/Xochicalco,N18 48 37.008 W99 16 30,Mexico,(iii)(iv),1999,,939.0,"Municipalities of Temixco and Miacatlan, Morelos State"
http://whc.unesco.org/en/list/149,Archaeological Park and Ruins of Quirigua,http://en.wikipedia.org/wiki/Quirigu%25C3%25A1,N15 16 14.124 W89 2 24.9,Guatemala,(i)(ii)(iv),1981,,149.0,Department of Izabal
http://whc.unesco.org/en/list/138,Archaeological Ruins at Moenjodaro,http://en.wikipedia.org/wiki/Mohenjo-daro,N27 19 45 E68 8 20,Pakistan,(ii)(iii),1980,240.0,138.0,Sind
http://whc.unesco.org/en/list/780,Archaeological Site of Aigai (modern name Vergina),http://en.wikipedia.org/wiki/Vergina,N40 28 17.004 E22 19 5.988,Greece,(i)(iii),1996,1421.0,780.0,"Prefecture of Imathia, Region of Central Macedonia"
http://whc.unesco.org/en/list/989,Archaeological Site of Atapuerca,http://en.wikipedia.org/wiki/Atapuerca_Mountains,Date of Inscription: 2000,Spain,(iii)(v),,,989.0,N42 22 17 W3 32 50
http://whc.unesco.org/en/list/37,Archaeological Site of Carthage,http://en.wikipedia.org/wiki/Carthage,N36 51 10.008 E10 19 23.988,Tunisia,(ii)(iii)(vi),1979,,37.0,District of Tunis
http://whc.unesco.org/en/list/190,Archaeological Site of Cyrene,"http://en.wikipedia.org/wiki/Cyrene,_Libya",N32 49 30 E21 51 29.988,Libyan Arab Jamahiriya,(ii)(iii)(vi),1982,,190.0,District of Ghebel Akhdar
